ObjectName, MOS, LPIPS
to_subs_simpL10_qp10_qt7_decompJPEG_1024x1024_Q50, 1.16, 0.958225, 1.000000, 0.958091
to_subs_simpL10_qp11_qt8_decompJPEG_1024x1024_Q75, 1.15, 0.954907, 1.000000, 0.956895
to_subs_simpL10_qp11_qt8_decompJPEG_1024x1024_Q90, 1.14, 0.954779, 1.000000, 0.957704
to_subs_simpL10_qp11_qt8_decompJPEG_2048x2048_Q90, 1.02, 0.954220, 1.000000, 0.962924
to_subs_simpL10_qp7_qt10_decompJPEG_2048x2048_Q10, 1.05, 0.961465, 0.985472, 0.951729
to_subs_simpL10_qp7_qt9_decompJPEG_512x512_Q10, 1.00, 0.966563, 0.985385, 0.948950
to_subs_simpL1_qp7_qt7_decompJPEG_1024x1024_Q75, 1.23, 0.493586, 0.766549, 0.359037
to_subs_simpL1_qp8_qt7_decompJPEG_1440x1440_Q10, 1.89, 0.270580, 0.492949, 0.281494
to_subs_simpL2_qp11_qt7_decompJPEG_2048x2048_Q90, 4.23, 0.064241, 0.049697, 0.228251
to_subs_simpL3_qp10_qt7_decompJPEG_1440x1440_Q50, 3.98, 0.074091, 0.087712, 0.228701
to_subs_simpL3_qp8_qt10_decompJPEG_1024x1024_Q50, 2.03, 0.256156, 0.502289, 0.287026
to_subs_simpL3_qp8_qt10_decompJPEG_1440x1440_Q90, 1.79, 0.254262, 0.502035, 0.288025
to_subs_simpL3_qp8_qt10_decompJPEG_512x512_Q10, 1.84, 0.262445, 0.504562, 0.280379
to_subs_simpL3_qp8_qt6_decompJPEG_1440x1440_Q10, 1.82, 0.271091, 0.544694, 0.293016
to_subs_simpL4_qp9_qt6_decompJPEG_1024x1024_Q75, 3.65, 0.146402, 0.185838, 0.262282
to_subs_simpL5_qp9_qt6_decompJPEG_512x512_Q25, 3.98, 0.148588, 0.192794, 0.259771
to_subs_simpL6_qp10_qt7_decompJPEG_712x712_Q75, 4.13, 0.068848, 0.123177, 0.236222
to_subs_simpL6_qp7_qt10_decompJPEG_1024x1024_Q75, 1.29, 0.457672, 0.723971, 0.375547
to_subs_simpL6_qp7_qt10_decompJPEG_512x512_Q75, 1.33, 0.469122, 0.734365, 0.373905
to_subs_simpL6_qp7_qt8_decompJPEG_512x512_Q25, 1.29, 0.469514, 0.765510, 0.360142
to_subs_simpL6_qp7_qt9_decompJPEG_712x712_Q10, 1.17, 0.473519, 0.868534, 0.369334
to_subs_simpL7_qp8_qt6_decompJPEG_1024x1024_Q10, 1.93, 0.271291, 0.515927, 0.312523
to_subs_simpL7_qp8_qt6_decompJPEG_1440x1440_Q10, 1.74, 0.269870, 0.520284, 0.314392
to_subs_simpL8_qp7_qt10_decompJPEG_2048x2048_Q25, 1.17, 0.407212, 0.537421, 0.350816
to_subs_simpL8_qp7_qt10_decompJPEG_512x512_Q10, 1.11, 0.417743, 0.576021, 0.340027
to_subs_simpL8_qp7_qt6_decompJPEG_1440x1440_Q75, 1.21, 0.445743, 0.641615, 0.349339
to_subs_simpL8_qp7_qt7_decompJPEG_512x512_Q10, 1.23, 0.422764, 0.616786, 0.322491
to_subs_simpL8_qp7_qt9_decompJPEG_512x512_Q10, 1.19, 0.417765, 0.617748, 0.343850
to_subs_simpL8_qp7_qt9_decompJPEG_712x712_Q10, 1.23, 0.419426, 0.677330, 0.338866
to_subs_simpL8_qp8_qt10_decompJPEG_1024x1024_Q25, 1.87, 0.267429, 0.586598, 0.317804
to_subs_simpL8_qp9_qt6_decompJPEG_512x512_Q75, 3.82, 0.145404, 0.150825, 0.278809
to_subs_simpL9_qp10_qt10_decompJPEG_712x712_Q90, 3.81, 0.160768, 0.182079, 0.276251
to_subs_simpL9_qp10_qt9_decompJPEG_2048x2048_Q75, 3.50, 0.161814, 0.181037, 0.266062
to_subs_simpL9_qp11_qt10_decompJPEG_512x512_Q90, 3.79, 0.164815, 0.202888, 0.276915
to_subs_simpL9_qp7_qt10_decompJPEG_2048x2048_Q10, 1.21, 0.461313, 0.603511, 0.343044
to_subs_simpL9_qp7_qt6_decompJPEG_1024x1024_Q10, 1.19, 0.482454, 0.696370, 0.355314
to_subs_simpL9_qp7_qt6_decompJPEG_1440x1440_Q75, 1.16, 0.476750, 0.702499, 0.353430
to_subs_simpL9_qp7_qt6_decompJPEG_2048x2048_Q10, 1.35, 0.477738, 0.726532, 0.355778
to_subs_simpL9_qp7_qt6_decompJPEG_512x512_Q10, 1.23, 0.481381, 0.661820, 0.347824
to_subs_simpL9_qp7_qt6_decompJPEG_512x512_Q25, 1.36, 0.476920, 0.663512, 0.352878
to_subs_simpL9_qp7_qt6_decompJPEG_712x712_Q10, 1.20, 0.484385, 0.662763, 0.349066
to_subs_simpL9_qp7_qt6_decompJPEG_712x712_Q50, 1.19, 0.477610, 0.696178, 0.352778
to_subs_simpL9_qp7_qt6_decompJPEG_712x712_Q75, 1.29, 0.475090, 0.692524, 0.354360
to_subs_simpL9_qp7_qt7_decompJPEG_1024x1024_Q75, 1.16, 0.473295, 0.453127, 0.328621
to_subs_simpL9_qp7_qt7_decompJPEG_2048x2048_Q75, 1.37, 0.471492, 0.454665, 0.328439
to_subs_simpL9_qp7_qt8_decompJPEG_1024x1024_Q25, 1.50, 0.458394, 0.602909, 0.330992
to_subs_simpL9_qp8_qt10_decompJPEG_512x512_Q10, 2.14, 0.339866, 0.497303, 0.302157
to_subs_simpL9_qp8_qt6_decompJPEG_1024x1024_Q25, 2.15, 0.338694, 0.502277, 0.306067
to_subs_simpL9_qp8_qt6_decompJPEG_712x712_Q25, 2.02, 0.336713, 0.490429, 0.307678
to_subs_simpL9_qp8_qt6_decompJPEG_712x712_Q90, 2.30, 0.339253, 0.502165, 0.307194
to_subs_simpL9_qp8_qt7_decompJPEG_512x512_Q10, 2.00, 0.338766, 0.529615, 0.298734
to_subs_simpL9_qp8_qt7_decompJPEG_512x512_Q75, 2.23, 0.332453, 0.516030, 0.296700
to_subs_simpL9_qp8_qt9_decompJPEG_1024x1024_Q25, 2.50, 0.332811, 0.492009, 0.301398
