ObjectName, MOS, LPIPS
mask-from-madang-province_simpL10_qp7_qt8_decompJPEG_1024x1024_Q90, 2.27, 0.665946, 0.745102, 0.717759, 0.717292
mask-from-madang-province_simpL10_qp9_qt9_decompJPEG_1024x1024_Q25, 2.17, 0.655048, 0.732634, 0.749996, 0.695653
mask-from-madang-province_simpL1_qp10_qt10_decompJPEG_712x712_Q10, 4.29, 0.287570, 0.401774, 0.514613, 0.269998
mask-from-madang-province_simpL1_qp10_qt7_decompJPEG_512x512_Q25, 1.57, 0.743944, 0.670038, 0.528481, 0.594312
mask-from-madang-province_simpL1_qp7_qt6_decompJPEG_512x512_Q10, 1.17, 0.982080, 0.979079, 0.964411, 0.982576
mask-from-madang-province_simpL1_qp7_qt9_decompJPEG_512x512_Q10, 1.32, 0.939964, 0.973344, 0.944246, 0.930791
mask-from-madang-province_simpL1_qp8_qt7_decompJPEG_712x712_Q50, 1.77, 0.881519, 0.925340, 0.883990, 0.838152
mask-from-madang-province_simpL1_qp8_qt8_decompJPEG_1440x1440_Q10, 2.83, 0.697388, 0.901359, 0.872458, 0.703518
mask-from-madang-province_simpL1_qp8_qt8_decompJPEG_512x512_Q10, 2.41, 0.807260, 0.910360, 0.915980, 0.744780
mask-from-madang-province_simpL1_qp9_qt10_decompJPEG_2048x2048_Q10, 3.80, 0.323831, 0.648461, 0.695834, 0.392199
mask-from-madang-province_simpL1_qp9_qt8_decompJPEG_512x512_Q25, 3.14, 0.562454, 0.743926, 0.740726, 0.530297
mask-from-madang-province_simpL1_qp9_qt9_decompJPEG_712x712_Q75, 3.48, 0.329071, 0.667734, 0.638653, 0.361279
mask-from-madang-province_simpL2_qp10_qt8_decompJPEG_1024x1024_Q50, 3.33, 0.328147, 0.413629, 0.361345, 0.276161
mask-from-madang-province_simpL2_qp10_qt8_decompJPEG_512x512_Q10, 2.89, 0.549063, 0.547047, 0.582206, 0.444749
mask-from-madang-province_simpL2_qp11_qt7_decompJPEG_1024x1024_Q75, 1.70, 0.691896, 0.509671, 0.308423, 0.505713
mask-from-madang-province_simpL2_qp11_qt7_decompJPEG_2048x2048_Q90, 1.88, 0.702625, 0.511390, 0.322576, 0.512108
mask-from-madang-province_simpL2_qp11_qt8_decompJPEG_1024x1024_Q10, 3.23, 0.341920, 0.286650, 0.302499, 0.281343
mask-from-madang-province_simpL2_qp7_qt7_decompJPEG_712x712_Q10, 1.18, 0.964356, 0.964490, 0.949734, 0.956323
mask-from-madang-province_simpL2_qp7_qt9_decompJPEG_712x712_Q10, 1.47, 0.908004, 0.970208, 0.933519, 0.911131
mask-from-madang-province_simpL2_qp8_qt7_decompJPEG_512x512_Q10, 1.75, 0.923525, 0.935105, 0.927426, 0.900150
mask-from-madang-province_simpL2_qp9_qt8_decompJPEG_1440x1440_Q10, 2.93, 0.549976, 0.730155, 0.718228, 0.535444
mask-from-madang-province_simpL2_qp9_qt9_decompJPEG_712x712_Q10, 3.49, 0.486321, 0.700915, 0.769568, 0.471152
mask-from-madang-province_simpL2_qp9_qt9_decompJPEG_712x712_Q75, 3.71, 0.333713, 0.639568, 0.627118, 0.348494
mask-from-madang-province_simpL3_qp10_qt8_decompJPEG_2048x2048_Q10, 3.07, 0.374574, 0.451366, 0.430730, 0.307511
mask-from-madang-province_simpL3_qp11_qt7_decompJPEG_1024x1024_Q75, 1.90, 0.682214, 0.504093, 0.305587, 0.497363
mask-from-madang-province_simpL3_qp11_qt7_decompJPEG_2048x2048_Q90, 1.95, 0.692727, 0.503424, 0.318785, 0.502512
mask-from-madang-province_simpL3_qp11_qt8_decompJPEG_1440x1440_Q10, 3.10, 0.310617, 0.282230, 0.271577, 0.255775
mask-from-madang-province_simpL3_qp11_qt8_decompJPEG_2048x2048_Q10, 3.40, 0.297165, 0.279445, 0.247725, 0.241606
mask-from-madang-province_simpL3_qp8_qt10_decompJPEG_512x512_Q10, 2.73, 0.712875, 0.901025, 0.908720, 0.698519
mask-from-madang-province_simpL3_qp9_qt8_decompJPEG_1440x1440_Q25, 2.93, 0.502484, 0.707425, 0.669008, 0.487249
mask-from-madang-province_simpL4_qp8_qt9_decompJPEG_2048x2048_Q10, 2.76, 0.567602, 0.890629, 0.851535, 0.692084
mask-from-madang-province_simpL5_qp10_qt8_decompJPEG_712x712_Q10, 3.17, 0.430497, 0.437794, 0.500066, 0.353574
mask-from-madang-province_simpL5_qp11_qt7_decompJPEG_1440x1440_Q75, 1.86, 0.670144, 0.502697, 0.292156, 0.450972
mask-from-madang-province_simpL5_qp8_qt10_decompJPEG_2048x2048_Q75, 3.00, 0.518607, 0.868002, 0.818290, 0.630126
mask-from-madang-province_simpL5_qp8_qt8_decompJPEG_712x712_Q10, 2.18, 0.750611, 0.897808, 0.894385, 0.789231
mask-from-madang-province_simpL5_qp8_qt8_decompJPEG_712x712_Q90, 2.50, 0.653489, 0.874265, 0.835188, 0.702726
mask-from-madang-province_simpL5_qp9_qt9_decompJPEG_1024x1024_Q10, 3.71, 0.453503, 0.655244, 0.701059, 0.426689
mask-from-madang-province_simpL5_qp9_qt9_decompJPEG_712x712_Q10, 3.76, 0.504521, 0.679471, 0.742842, 0.485788
mask-from-madang-province_simpL6_qp10_qt6_decompJPEG_512x512_Q10, 1.60, 0.877596, 0.715728, 0.658633, 0.797452
mask-from-madang-province_simpL6_qp10_qt7_decompJPEG_1440x1440_Q10, 1.77, 0.738366, 0.596934, 0.497906, 0.567764
mask-from-madang-province_simpL6_qp10_qt8_decompJPEG_512x512_Q25, 3.88, 0.367094, 0.371627, 0.417723, 0.284034
mask-from-madang-province_simpL6_qp10_qt8_decompJPEG_712x712_Q10, 3.14, 0.422425, 0.398514, 0.492480, 0.347124
mask-from-madang-province_simpL6_qp7_qt7_decompJPEG_2048x2048_Q75, 1.17, 0.924520, 0.933605, 0.906640, 0.918108
mask-from-madang-province_simpL7_qp10_qt7_decompJPEG_2048x2048_Q10, 1.84, 0.699508, 0.550913, 0.473165, 0.496981
mask-from-madang-province_simpL7_qp7_qt7_decompJPEG_512x512_Q50, 1.47, 0.914362, 0.941441, 0.905781, 0.906572
